,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category
881,"Vineland-Bridgeton, NJ Metro Area",17864,1405,1002,1618,5934,47220,9959,5934,55.75,33.22,"Vineland-Bridgeton, NJ",NJ,Very High (50%+)
883,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",262740,24199,18368,25039,61998,47260,129604,61998,49.33,23.6,"Virginia Beach-Norfolk-Newport News, VA-NC",VA,High (40-49%)
884,"Visalia, CA Metro Area",58592,4474,3381,5589,13911,47300,27355,13911,46.69,23.74,"Visalia, CA",CA,High (40-49%)
886,"Waco, TX Metro Area",39586,3117,2770,3268,10549,47380,19704,10549,49.78,26.65,"Waco, TX",TX,High (40-49%)
888,"Walla Walla, WA Metro Area",7778,533,715,810,1744,47460,3802,1744,48.88,22.42,"Walla Walla, WA",WA,High (40-49%)
890,"Warner Robins, GA Metro Area",23196,1935,1200,2579,4038,47580,9752,4038,42.04,17.41,"Warner Robins, GA",GA,High (40-49%)
896,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",853416,75905,55794,68817,185597,47900,386113,185597,45.24,21.75,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,High (40-49%)
898,"Waterloo-Cedar Falls, IA Metro Area",21074,1519,1357,1352,5407,47940,9635,5407,45.72,25.66,"Waterloo-Cedar Falls, IA",IA,High (40-49%)
901,"Watertown-Fort Drum, NY Metro Area",20976,1864,1247,1974,4037,48060,9122,4037,43.49,19.25,"Watertown-Fort Drum, NY",NY,High (40-49%)
903,"Wausau-Weston, WI Metro Area",17934,1829,1137,1618,2845,48140,7429,2845,41.42,15.86,"Wausau-Weston, WI",WI,High (40-49%)
906,"Weirton-Steubenville, WV-OH Metro Area",13662,912,553,902,2661,48260,5028,2661,36.8,19.48,"Weirton-Steubenville, WV-OH",WV,Moderate (30-39%)
907,"Wenatchee, WA Metro Area",15770,1014,720,1109,2745,48300,5588,2745,35.43,17.41,"Wenatchee, WA",WA,Moderate (30-39%)
910,"Wheeling, WV-OH Metro Area",14603,1177,739,946,3081,48540,5943,3081,40.7,21.1,"Wheeling, WV-OH",WV,High (40-49%)
912,"Wichita, KS Metro Area",87340,7283,4932,6745,16942,48620,35902,16942,41.11,19.4,"Wichita, KS",KS,High (40-49%)
913,"Wichita Falls, TX Metro Area",20464,1422,1418,1493,3653,48660,7986,3653,39.02,17.85,"Wichita Falls, TX",TX,Moderate (30-39%)
914,"Williamsport, PA Metro Area",13764,1455,656,1074,2623,48700,5808,2623,42.2,19.06,"Williamsport, PA",PA,High (40-49%)
917,"Wilmington, NC Metro Area",44566,3913,2596,4031,11393,48900,21933,11393,49.21,25.56,"Wilmington, NC",NC,High (40-49%)
920,"Winchester, VA-WV Metro Area",15357,1482,1028,957,2702,49020,6169,2702,40.17,17.59,"Winchester, VA-WV",VA,High (40-49%)
924,"Winston-Salem, NC Metro Area",87505,7394,5271,6339,18907,49180,37911,18907,43.32,21.61,"Winston-Salem, NC",NC,High (40-49%)
928,"Worcester, MA-CT Metro Area",126746,12523,7758,10102,27763,49340,58146,27763,45.88,21.9,"Worcester, MA-CT",MA,High (40-49%)
930,"Yakima, WA Metro Area",32234,2604,2004,1976,6644,49420,13228,6644,41.04,20.61,"Yakima, WA",WA,High (40-49%)
933,"York-Hanover, PA Metro Area",43622,3951,2887,4161,8776,49620,19775,8776,45.33,20.12,"York-Hanover, PA",PA,High (40-49%)
934,"Youngstown-Warren-Boardman, OH-PA Metro Area",66232,4622,3767,6057,13791,49660,28237,13791,42.63,20.82,"Youngstown-Warren-Boardman, OH-PA",OH,High (40-49%)
935,"Yuba City, CA Metro Area",24000,2597,1449,2554,4862,49700,11462,4862,47.76,20.26,"Yuba City, CA",CA,High (40-49%)
936,"Yuma, AZ Metro Area",23103,2270,2094,1262,4474,49740,10100,4474,43.72,19.37,"Yuma, AZ",AZ,High (40-49%)
