,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category
156,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%)
158,"Charleston-North Charleston, SC Metro Area",100827,8107,6848,9630,23943,16700,48528,23943,48.13,23.75,"Charleston-North Charleston, SC",SC,High (40-49%)
159,"Charlotte-Concord-Gastonia, NC-SC Metro Area",348582,30392,22009,29353,70959,16740,152713,70959,43.81,20.36,"Charlotte-Concord-Gastonia, NC-SC",NC,High (40-49%)
160,"Charlottesville, VA Metro Area",29814,2452,1775,2275,6993,16820,13495,6993,45.26,23.46,"Charlottesville, VA",VA,High (40-49%)
161,"Chattanooga, TN-GA Metro Area",71328,5182,4760,5641,13818,16860,29401,13818,41.22,19.37,"Chattanooga, TN-GA",TN,High (40-49%)
162,"Cheyenne, WY Metro Area",11515,1201,720,1068,1955,16940,4944,1955,42.94,16.98,"Cheyenne, WY",WY,High (40-49%)
163,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%)
164,"Chico, CA Metro Area",34895,2571,2397,3490,9811,17020,18269,9811,52.35,28.12,"Chico, CA",CA,Very High (50%+)
166,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%)
169,"Clarksville, TN-KY Metro Area",45083,3975,2890,4177,8295,17300,19337,8295,42.89,18.4,"Clarksville, TN-KY",TN,High (40-49%)
172,"Cleveland, TN Metro Area",14738,1228,747,1232,2658,17420,5865,2658,39.8,18.04,"Cleveland, TN",TN,Moderate (30-39%)
173,"Cleveland-Elyria, OH Metro Area",307569,25684,16582,22375,68110,17460,132751,68110,43.16,22.14,"Cleveland-Elyria, OH",OH,High (40-49%)
179,"Coeur d'Alene, ID Metro Area",18544,1853,1680,2004,3625,17660,9162,3625,49.41,19.55,"Coeur d'Alene, ID",ID,High (40-49%)
182,"College Station-Bryan, TX Metro Area",49065,3379,3203,4637,15199,17780,26418,15199,53.84,30.98,"College Station-Bryan, TX",TX,Very High (50%+)
183,"Colorado Springs, CO Metro Area",95470,9064,7708,9624,23093,17820,49489,23093,51.84,24.19,"Colorado Springs, CO",CO,Very High (50%+)
184,"Columbia, MO Metro Area",33546,2234,1790,3040,8863,17860,15927,8863,47.48,26.42,"Columbia, MO",MO,High (40-49%)
185,"Columbia, SC Metro Area",102879,8159,6021,8438,26837,17900,49455,26837,48.07,26.09,"Columbia, SC",SC,High (40-49%)
186,"Columbus, GA-AL Metro Area",53949,4233,3182,4521,12055,17980,23991,12055,44.47,22.35,"Columbus, GA-AL",GA,High (40-49%)
187,"Columbus, IN Metro Area",9782,620,448,436,1828,18020,3332,1828,34.06,18.69,"Columbus, IN",IN,Moderate (30-39%)
190,"Columbus, OH Metro Area",323450,25277,18545,23736,64495,18140,132053,64495,40.83,19.94,"Columbus, OH",OH,High (40-49%)
199,"Corpus Christi, TX Metro Area",60538,4843,4409,5319,14027,18580,28598,14027,47.24,23.17,"Corpus Christi, TX",TX,High (40-49%)
202,"Corvallis, OR Metro Area",16662,1025,970,1423,5890,18700,9308,5890,55.86,35.35,"Corvallis, OR",OR,Very High (50%+)
207,"Crestview-Fort Walton Beach-Destin, FL Metro Area",34312,3876,2707,3706,6924,18880,17213,6924,50.17,20.18,"Crestview-Fort Walton Beach-Destin, FL",FL,Very High (50%+)
211,"Cumberland, MD-WV Metro Area",10209,829,455,985,1779,19060,4048,1779,39.65,17.43,"Cumberland, MD-WV",MD,Moderate (30-39%)
212,"Dallas-Fort Worth-Arlington, TX Metro Area",1105476,100523,76784,104447,239350,19100,521104,239350,47.14,21.65,"Dallas-Fort Worth-Arlington, TX",TX,High (40-49%)
213,"Dalton, GA Metro Area",15405,1021,904,1544,2411,19140,5880,2411,38.17,15.65,"Dalton, GA",GA,Moderate (30-39%)
214,"Danville, IL Metro Area",9123,849,515,427,1749,19180,3540,1749,38.8,19.17,"Danville, IL",IL,Moderate (30-39%)
217,"Daphne-Fairhope-Foley, AL Metro Area",20094,1527,1142,2053,4227,19300,8949,4227,44.54,21.04,"Daphne-Fairhope-Foley, AL",AL,High (40-49%)
218,"Davenport-Moline-Rock Island, IA-IL Metro Area",46638,3550,2694,4073,8991,19340,19308,8991,41.4,19.28,"Davenport-Moline-Rock Island, IA-IL",IA,High (40-49%)
220,"Dayton-Kettering, OH Metro Area",119753,10415,6498,8205,24253,19430,49371,24253,41.23,20.25,"Dayton-Kettering, OH",OH,High (40-49%)
221,"Decatur, AL Metro Area",15720,1297,446,1297,2724,19460,5764,2724,36.67,17.33,"Decatur, AL",AL,Moderate (30-39%)
222,"Decatur, IL Metro Area",13472,1059,589,747,2631,19500,5026,2631,37.31,19.53,"Decatur, IL",IL,Moderate (30-39%)
226,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",74758,5773,4947,7667,20025,19660,38412,20025,51.38,26.79,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Very High (50%+)
228,"Denver-Aurora-Lakewood, CO Metro Area",421824,41919,28382,38530,98838,19740,207669,98838,49.23,23.43,"Denver-Aurora-Lakewood, CO",CO,High (40-49%)
230,"Des Moines-West Des Moines, IA Metro Area",86217,7233,5249,6351,15465,19780,34298,15465,39.78,17.94,"Des Moines-West Des Moines, IA",IA,Moderate (30-39%)
231,"Detroit-Warren-Dearborn, MI Metro Area",513025,42672,28581,39484,123691,19820,234428,123691,45.7,24.11,"Detroit-Warren-Dearborn, MI",MI,High (40-49%)
235,"Dothan, AL Metro Area",18100,1324,821,1207,3841,20020,7193,3841,39.74,21.22,"Dothan, AL",AL,Moderate (30-39%)
237,"Dover, DE Metro Area",20352,1954,1438,1828,4975,20100,10195,4975,50.09,24.44,"Dover, DE",DE,Very High (50%+)
240,"Dubuque, IA Metro Area",10673,656,589,705,2680,20220,4630,2680,43.38,25.11,"Dubuque, IA",IA,High (40-49%)
241,"Duluth, MN-WI Metro Area",33355,3185,1805,2602,7626,20260,15218,7626,45.62,22.86,"Duluth, MN-WI",MN,High (40-49%)
246,"Durham-Chapel Hill, NC Metro Area",94981,9245,5434,6877,21459,20500,43015,21459,45.29,22.59,"Durham-Chapel Hill, NC",NC,High (40-49%)
250,"East Stroudsburg, PA Metro Area",12589,1108,581,1280,3386,20700,6355,3386,50.48,26.9,"East Stroudsburg, PA",PA,Very High (50%+)
251,"Eau Claire, WI Metro Area",22395,1679,1263,1571,3965,20740,8478,3965,37.86,17.7,"Eau Claire, WI",WI,Moderate (30-39%)
255,"El Centro, CA Metro Area",19902,1839,1543,1537,5146,20940,10065,5146,50.57,25.86,"El Centro, CA",CA,Very High (50%+)
258,"Elizabethtown-Fort Knox, KY Metro Area",20407,1161,982,1226,2978,21060,6347,2978,31.1,14.59,"Elizabethtown-Fort Knox, KY",KY,Moderate (30-39%)
260,"Elkhart-Goshen, IN Metro Area",20633,1944,1203,1573,4275,21140,8995,4275,43.6,20.72,"Elkhart-Goshen, IN",IN,High (40-49%)
264,"Elmira, NY Metro Area",10978,1045,605,783,2958,21300,5391,2958,49.11,26.94,"Elmira, NY",NY,High (40-49%)
265,"El Paso, TX Metro Area",108524,9244,7411,10141,24594,21340,51390,24594,47.35,22.66,"El Paso, TX",TX,High (40-49%)
267,"Enid, OK Metro Area",8158,610,520,542,1405,21420,3077,1405,37.72,17.22,"Enid, OK",OK,Moderate (30-39%)
269,"Erie, PA Metro Area",35065,2727,2144,2760,8926,21500,16557,8926,47.22,25.46,"Erie, PA",PA,High (40-49%)
273,"Eugene-Springfield, OR Metro Area",64535,5535,3668,5982,17207,21660,32392,17207,50.19,26.66,"Eugene-Springfield, OR",OR,Very High (50%+)
276,"Evansville, IN-KY Metro Area",39932,2592,2199,3373,8712,21780,16876,8712,42.26,21.82,"Evansville, IN-KY",IN,High (40-49%)
277,"Fairbanks, AK Metro Area",14330,1168,730,1700,2570,21820,6168,2570,43.04,17.93,"Fairbanks, AK",AK,High (40-49%)
282,"Fargo, ND-MN Metro Area",46553,3591,2582,3701,9230,22020,19104,9230,41.04,19.83,"Fargo, ND-MN",ND,High (40-49%)
285,"Farmington, NM Metro Area",12171,863,542,857,2390,22140,4652,2390,38.22,19.64,"Farmington, NM",NM,Moderate (30-39%)
286,"Fayetteville, NC Metro Area",80727,6269,4978,7839,17668,22180,36754,17668,45.53,21.89,"Fayetteville, NC",NC,High (40-49%)
287,"Fayetteville-Springdale-Rogers, AR Metro Area",77362,6267,4138,4601,12221,22220,27227,12221,35.19,15.8,"Fayetteville-Springdale-Rogers, AR",AR,Moderate (30-39%)
